freq	real(S(1,1))
4.24000000009999845E9	-5.50634869348620715E-3
4.25000000009999912E9	-8.36164678977580067E-3
4.26000000009999891E9	-1.12119585020152845E-2
4.27000000009999958E9	-1.40572576554208739E-2
4.28000000009999848E9	-1.68975183064320467E-2
4.29000000009999916E9	-1.97327147416814785E-2
4.30000000009999894E9	-2.25628214770745572E-2
4.31000000009999873E9	-2.53878132567441073E-2
4.32000000009999940E9	-2.82076650521269068E-2
4.33000000009999830E9	-3.10223520608725600E-2
4.34000000009999898E9	-3.38318497059459933E-2
4.35000000009999876E9	-3.66361336345812916E-2
4.36000000009999944E9	-3.94351797172689533E-2
4.37000000009999923E9	-4.22289640467921057E-2
4.38000000009999901E9	-4.50174629371572443E-2
4.39000000009999880E9	-4.78006529226409071E-2
4.40000000009999859E9	-5.05785107567482406E-2
4.41000000009999926E9	-5.33510134111921985E-2
4.42000000009999905E9	-5.61181380748986314E-2
4.43000000009999884E9	-5.88798621529673660E-2
4.44000000009999862E9	-6.16361632656538028E-2
4.45000000009999930E9	-6.43870192473483538E-2
4.46000000009999908E9	-6.71324081455423283E-2
4.47000000009999887E9	-6.98723082198092804E-2
4.48000000009999866E9	-7.26066979407706814E-2
4.49000000009999845E9	-7.53355559890712634E-2
4.50000000009999912E9	-7.80588612543248139E-2
4.51000000009999891E9	-8.07765928341122041E-2
4.52000000009999958E9	-8.34887300329144644E-2
4.53000000009999848E9	-8.61952523611042665E-2
4.54000000009999916E9	-8.88961395338904126E-2
4.55000000009999894E9	-9.15913714702788440E-2
4.56000000009999873E9	-9.42809282920515912E-2
4.57000000009999940E9	-9.69647903226921137E-2
4.58000000009999830E9	-9.96429380863905756E-2
4.59000000009999898E9	-1.02315352306965313E-1
4.60000000009999876E9	-1.04982013906832927E-1
4.61000000009999944E9	-1.07642904005963991E-1
4.62000000009999923E9	-1.10298003920840437E-1
4.63000000009999901E9	-1.12947295163414840E-1
4.64000000009999880E9	-1.15590759440074020E-1
4.65000000009999859E9	-1.18228378650585997E-1
4.66000000009999926E9	-1.20860134887041393E-1
4.67000000009999905E9	-1.23486010432835136E-1
4.68000000009999884E9	-1.26105987761623517E-1
4.69000000009999862E9	-1.28720049536274916E-1
4.70000000009999930E9	-1.31328178607802326E-1
4.71000000009999908E9	-1.33930358014346051E-1
4.72000000009999887E9	-1.36526570980153417E-1
4.73000000009999866E9	-1.39116800914494299E-1
4.74000000009999845E9	-1.41701031410622735E-1
4.75000000009999912E9	-1.44279246244784054E-1
4.76000000009999891E9	-1.46851429375126519E-1
4.77000000009999958E9	-1.49417564940676595E-1
4.78000000009999848E9	-1.51977637260301557E-1
4.79000000009999916E9	-1.54531630831684197E-1
4.80000000009999894E9	-1.57079530330278216E-1
4.81000000009999873E9	-1.59621320608271500E-1
4.82000000009999940E9	-1.62156986693539507E-1
4.83000000009999830E9	-1.64686513788653843E-1
4.84000000009999898E9	-1.67209887269800017E-1
4.85000000009999876E9	-1.69727092685746594E-1
4.86000000009999944E9	-1.72238115756951360E-1
4.87000000009999923E9	-1.74742942374312871E-1
4.88000000009999901E9	-1.77241558598273286E-1
4.89000000009999880E9	-1.79733950657828823E-1
4.90000000009999859E9	-1.82220104949420425E-1
4.91000000009999926E9	-1.84700008035934449E-1
4.92000000009999905E9	-1.87173646645759195E-1
4.93000000009999884E9	-1.89641007671649708E-1
4.94000000009999862E9	-1.92102078169777757E-1
4.95000000009999930E9	-1.94556845358766717E-1
4.96000000009999908E9	-1.97005296618539161E-1
4.97000000009999887E9	-1.99447419489456768E-1
4.98000000009999866E9	-2.01883201671222867E-1
4.99000000009999845E9	-2.04312631021894919E-1
5.00000000009999912E9	-2.06735695556929944E-1
5.01000000009999891E9	-2.09152383448117041E-1
5.02000000009999958E9	-2.11562683022604503E-1
5.03000000009999848E9	-2.13966582761884405E-1
5.04000000009999916E9	-2.16364071300884087E-1
5.05000000009999894E9	-2.18755137426834967E-1
5.06000000009999873E9	-2.21139770078419229E-1
5.07000000009999940E9	-2.23517958344645828E-1
5.08000000009999830E9	-2.25889691464050113E-1
5.09000000009999898E9	-2.28254958823519649E-1
5.10000000009999876E9	-2.30613749957411684E-1
5.11000000009999944E9	-2.32966054546613144E-1
5.12000000009999923E9	-2.35311862417470596E-1
5.13000000009999901E9	-2.37651163540877119E-1
5.14000000009999880E9	-2.39983948031309158E-1
5.15000000009999859E9	-2.42310206145835760E-1
5.16000000009999926E9	-2.44629928283174891E-1
5.17000000009999905E9	-2.46943104982724426E-1
5.18000000009999884E9	-2.49249726923632675E-1
5.19000000009999862E9	-2.51549784923733721E-1
5.20000000009999930E9	-2.53843269938769156E-1
5.21000000009999908E9	-2.56130173061325905E-1
5.22000000009999887E9	-2.58410485519938415E-1
5.23000000009999866E9	-2.60684198678043177E-1
5.24000000009999845E9	-2.62951304033256950E-1
5.25000000009999912E9	-2.65211793216190728E-1
5.26000000009999891E9	-2.67465657989661043E-1
