VGS	VDS	fetCharTestingSmartSim0..IDS.i[0, ::]
-8.00000000000000000E-1	4.39999999999999236E0	1.14440713379860570E-2
-8.00000000000000000E-1	4.44999999999999218E0	1.14473250967800855E-2
-8.00000000000000000E-1	4.49999999999999201E0	1.14505473303402527E-2
-8.00000000000000000E-1	4.54999999999999183E0	1.14537410480354951E-2
-8.00000000000000000E-1	4.59999999999999165E0	1.14569089758396170E-2
-8.00000000000000000E-1	4.64999999999999147E0	1.14600535829927797E-2
-8.00000000000000000E-1	4.69999999999999130E0	1.14631771061598764E-2
-8.00000000000000000E-1	4.74999999999999112E0	1.14662815713188548E-2
-8.00000000000000000E-1	4.79999999999999094E0	1.14693688135928817E-2
-8.00000000000000000E-1	4.84999999999999076E0	1.14724404952179215E-2
-8.00000000000000000E-1	4.89999999999999059E0	1.14754981218211238E-2
-8.00000000000000000E-1	4.94999999999999041E0	1.14785430571681735E-2
-8.00000000000000000E-1	4.99999999999999023E0	1.14815765365234168E-2
-8.00000000000000000E-1	5.04999999999999005E0	1.14845996787528914E-2
-8.00000000000000000E-1	5.09999999999998987E0	1.14876134972885047E-2
-8.00000000000000000E-1	5.14999999999998970E0	1.14906189100601308E-2
-8.00000000000000000E-1	5.19999999999998952E0	1.14936167484927410E-2
-8.00000000000000000E-1	5.24999999999998934E0	1.14966077656565724E-2
-8.00000000000000000E-1	5.29999999999998916E0	1.14995926436497053E-2
-8.00000000000000000E-1	5.34999999999998899E0	1.15025720002855536E-2
-8.00000000000000000E-1	5.39999999999998881E0	1.15055463951504167E-2
-8.00000000000000000E-1	5.44999999999998863E0	1.15085163350904818E-2
-8.00000000000000000E-1	5.49999999999998845E0	1.15114822791820437E-2
-8.00000000000000000E-1	5.54999999999998828E0	1.15144446432333836E-2
-8.00000000000000000E-1	5.59999999999998810E0	1.15174038038625848E-2
-8.00000000000000000E-1	5.64999999999998792E0	1.15203601021911162E-2
-8.00000000000000000E-1	5.69999999999998774E0	1.15233138471894492E-2
-8.00000000000000000E-1	5.74999999999998757E0	1.15262653187073383E-2
-8.00000000000000000E-1	5.79999999999998739E0	1.15292147702186076E-2
-8.00000000000000000E-1	5.84999999999998721E0	1.15321624313072579E-2
-8.00000000000000000E-1	5.89999999999998703E0	1.15351085099193029E-2
-8.00000000000000000E-1	5.94999999999998685E0	1.15380531944023490E-2
-8.00000000000000000E-1	6.00000000000000000E0	1.15409966553530041E-2

VGS	VDS	fetCharTestingSmartSim0..IDS.i[3, ::]
-6.00000000000000089E-1	1.00000000000000000E-1	1.97599219050409491E-3
-6.00000000000000089E-1	1.50000000000000022E-1	2.93136276896759629E-3
-6.00000000000000089E-1	2.00000000000000000E-1	3.86154184832273151E-3
-6.00000000000000089E-1	2.50000000000000000E-1	4.76426013060085296E-3
-6.00000000000000089E-1	3.00000000000000000E-1	5.63751930062001172E-3
-6.00000000000000089E-1	3.50000000000000000E-1	6.47960490998935601E-3
-6.00000000000000089E-1	3.99999999999999956E-1	7.28909452144405989E-3
-6.00000000000000089E-1	4.50000000000000000E-1	8.06486101388595955E-3
-6.00000000000000089E-1	4.99999999999999911E-1	8.80607107768947550E-3
-6.00000000000000089E-1	5.49999999999999911E-1	9.51217906435540428E-3
-6.00000000000000089E-1	6.00000000000000000E-1	1.01829164871143063E-2
-6.00000000000000089E-1	6.50000000000000000E-1	1.08182775918312091E-2
-6.00000000000000089E-1	7.00000000000000089E-1	1.14185015231406695E-2
-6.00000000000000089E-1	7.50000000000000089E-1	1.19840516928788188E-2
-6.00000000000000089E-1	8.00000000000000178E-1	1.25155930120842940E-2
-6.00000000000000089E-1	8.50000000000000178E-1	1.30139676718145125E-2
-6.00000000000000089E-1	9.00000000000000178E-1	1.34801701518141059E-2
-6.00000000000000089E-1	9.50000000000000355E-1	1.39153221019423334E-2
-6.00000000000000089E-1	1.00000000000000022E0	1.43206476833277829E-2
-6.00000000000000089E-1	1.05000000000000027E0	1.46974498798983810E-2
-6.00000000000000089E-1	1.10000000000000031E0	1.50470882023514463E-2
-6.00000000000000089E-1	1.15000000000000036E0	1.53709581119828087E-2
-6.00000000000000089E-1	1.20000000000000040E0	1.56704723968367343E-2
-6.00000000000000089E-1	1.25000000000000044E0	1.59470446422707868E-2
-6.00000000000000089E-1	1.30000000000000049E0	1.62020748560526995E-2
-6.00000000000000089E-1	1.35000000000000053E0	1.64369372371326294E-2
-6.00000000000000089E-1	1.40000000000000058E0	1.66529700187134111E-2
